,block_range,total_blocks,n_samples,accuracy
0,0-4,5,50,0.86
1,5-9,5,50,0.92
2,10-14,5,50,0.9
3,15-19,5,50,0.88
4,20-24,5,50,0.96
5,25-29,5,50,0.98
6,30-34,5,50,0.94
7,35-39,5,50,0.92
8,40-44,5,50,0.9
9,45-49,5,50,0.86
10,50-54,5,50,0.84
11,55-59,5,50,0.88
12,60-64,5,50,0.84
13,65-69,5,50,0.86
14,70-74,5,50,0.96
15,75-79,5,50,0.84
16,80-84,5,50,0.86
17,85-89,5,50,0.86
18,90-94,5,50,0.9
19,95-99,5,50,0.94
20,100-104,5,50,0.9
21,105-109,5,50,0.84
22,110-114,5,50,0.9
23,115-119,5,50,0.84
24,120-124,5,50,0.88
25,125-129,5,50,0.9
26,130-134,5,50,0.86
27,135-139,5,50,0.86
28,140-144,5,50,0.9
29,145-149,5,50,0.82
30,150-154,5,50,0.86
31,155-159,5,50,0.96
32,160-164,5,50,0.84
33,165-169,5,50,0.76
34,170-174,5,50,0.92
35,175-179,5,50,0.92
36,180-184,5,50,0.88
37,185-189,5,50,0.94
38,190-194,5,50,0.9
39,195-199,5,50,0.92
40,200-204,5,50,0.92
41,205-209,5,50,0.88
42,210-214,5,50,0.86
43,215-219,5,50,0.8
44,220-224,5,50,0.88
45,225-229,5,50,0.8
46,230-234,5,50,0.82
47,235-239,5,50,0.82
48,240-244,5,50,0.76
49,245-249,5,50,0.86
50,250-254,5,50,0.96
51,255-259,5,50,0.78
52,260-264,5,50,0.9
53,265-269,5,50,0.96
54,270-274,5,50,0.88
55,275-279,5,50,0.78
56,280-284,5,50,0.94
57,285-289,5,50,0.9
58,290-294,5,50,0.92
59,295-299,5,50,0.82
60,300-304,5,50,0.8
61,305-309,5,50,0.94
62,310-314,5,50,0.92
63,315-319,5,50,0.86
64,320-324,5,50,0.84
65,325-329,5,50,0.9
66,330-334,5,50,0.82
67,335-339,5,50,0.9
68,340-344,5,50,0.9
69,345-349,5,50,0.92
70,350-354,5,50,0.94
71,355-359,5,50,0.86
72,360-364,5,50,0.86
73,365-369,5,50,0.9
74,370-374,5,50,0.86
75,375-379,5,50,0.96
76,380-384,5,50,0.96
77,385-389,5,50,0.88
78,390-394,5,50,0.9
79,395-399,5,50,0.92
80,400-404,5,50,0.84
81,405-409,5,50,0.84
82,410-414,5,50,0.94
83,415-419,5,50,0.92
84,420-424,5,50,0.9
85,425-429,5,50,0.9
86,430-434,5,50,0.92
87,435-439,5,50,0.72
88,440-444,5,50,0.9
89,445-449,5,50,0.86
90,450-454,5,50,0.9
91,455-459,5,50,0.76
92,460-464,5,50,0.94
93,465-469,5,50,0.9
94,470-474,5,50,0.86
95,475-479,5,50,0.86
96,480-484,5,50,0.9
97,485-489,5,50,0.84
98,490-494,5,50,0.82
99,495-499,5,50,0.78
100,500-504,5,50,0.82
101,505-509,5,50,0.86
102,510-514,5,50,0.88
103,515-519,5,50,0.86
104,520-524,5,50,0.9
105,525-529,5,50,0.84
106,530-534,5,50,0.86
107,535-539,5,50,0.92
108,540-544,5,50,0.9
109,545-549,5,50,0.78
110,550-554,5,50,0.86
111,555-559,5,50,0.88
112,560-564,5,50,0.9
113,565-569,5,50,0.84
114,570-574,5,50,0.94
115,575-579,5,50,0.94
116,580-584,5,50,0.9
117,585-589,5,50,0.92
118,590-594,5,50,0.92
119,595-599,5,50,0.84
120,600-604,5,50,0.88
121,605-609,5,50,0.94
122,610-614,5,50,0.86
123,615-619,5,50,0.86
124,620-624,5,50,0.88
125,625-629,5,50,0.92
126,630-634,5,50,0.9
127,635-639,5,50,0.86
128,640-644,5,50,0.86
129,645-649,5,50,0.94
130,650-654,5,50,0.92
131,655-659,5,50,0.86
132,660-664,5,50,0.94
133,665-669,5,50,0.86
134,670-674,5,50,0.88
135,675-679,5,50,0.84
136,680-684,5,50,0.92
137,685-689,5,50,0.74
138,690-694,5,50,0.88
139,695-699,5,50,0.92
140,700-704,5,50,0.88
141,705-709,5,50,0.92
142,710-714,5,50,0.88
143,715-719,5,50,0.88
144,720-724,5,50,0.88
145,725-729,5,50,0.92
146,730-734,5,50,0.94
