block_range,total_blocks,avg_FDDS,avg_FDDS_scaled,final_drift
0-4,5,3440766.479098993,0.13743616862599256,PSEUDO_DRIFT
5-9,5,3532356.372832568,0.14134440850104413,PSEUDO_DRIFT
10-14,5,2920696.6475359984,0.11524422614554451,PSEUDO_DRIFT
15-19,5,3488132.787091907,0.13945734024314033,PSEUDO_DRIFT
20-24,5,3038349.885249356,0.12026461711136244,PSEUDO_DRIFT
25-29,5,3533370.676649932,0.1413876899425094,PSEUDO_DRIFT
30-34,5,3059634.901049033,0.12117287176805396,PSEUDO_DRIFT
35-39,5,2410268.3675309913,0.09346369910320039,PSEUDO_DRIFT
40-44,5,2746578.4970154227,0.10781441624955061,PSEUDO_DRIFT
45-49,5,2839657.810634751,0.11178621128282878,PSEUDO_DRIFT
50-54,5,2952210.844495067,0.11658897103130597,PSEUDO_DRIFT
55-59,5,2807378.0539701595,0.11040879913602038,PSEUDO_DRIFT
60-64,5,2456097.0343235345,0.09541925790644651,PSEUDO_DRIFT
65-69,5,3030196.028088961,0.11991668320303814,PSEUDO_DRIFT
70-74,5,3258558.583118388,0.12966116053730425,PSEUDO_DRIFT
75-79,5,3263275.8887950443,0.12986245307512448,PSEUDO_DRIFT
80-84,5,3054232.291729454,0.12094233658222305,PSEUDO_DRIFT
85-89,5,2641564.754378006,0.1033333662158229,PSEUDO_DRIFT
90-94,5,3852811.9397909613,0.15501859430818346,PSEUDO_DRIFT
95-99,5,3202014.0216680663,0.12724834291333928,PSEUDO_DRIFT
100-104,5,2885110.408506802,0.11372572281829325,PSEUDO_DRIFT
105-109,5,4844039.714550843,0.1973153560649349,PSEUDO_DRIFT
110-114,5,2595991.891292109,0.10138872283354462,PSEUDO_DRIFT
115-119,5,2684020.00571556,0.10514497773123119,PSEUDO_DRIFT
120-124,5,3753269.8694588966,0.15077102645262266,PSEUDO_DRIFT
125-129,5,3118804.8520065662,0.12369771760322612,PSEUDO_DRIFT
130-134,5,2549102.0179453203,0.09938788119829704,PSEUDO_DRIFT
135-139,5,3224374.656669323,0.1282024954052899,PSEUDO_DRIFT
140-144,5,2535300.533061973,0.09879895690373541,PSEUDO_DRIFT
145-149,5,2456268.7497085086,0.0954265851877366,PSEUDO_DRIFT
150-154,5,2851325.632186766,0.112284089854205,PSEUDO_DRIFT
155-159,5,2682501.1553818705,0.10508016674394444,PSEUDO_DRIFT
160-164,5,3028580.024370724,0.11984772657570306,PSEUDO_DRIFT
165-169,5,2881763.987329708,0.11358292740550373,PSEUDO_DRIFT
170-174,5,2675621.9941866323,0.1047866254918021,PSEUDO_DRIFT
175-179,5,2896182.917839874,0.11419819877309972,PSEUDO_DRIFT
180-184,5,2487243.556259795,0.09674831370112355,PSEUDO_DRIFT
185-189,5,2883413.9312516497,0.11365333229805759,PSEUDO_DRIFT
190-194,5,2859844.3213323234,0.11264759153812094,PSEUDO_DRIFT
195-199,5,3172830.437922328,0.12600304781534757,PSEUDO_DRIFT
200-204,5,3029049.02510042,0.11986773934434497,PSEUDO_DRIFT
205-209,5,3690734.669520803,0.1481025818019135,PSEUDO_DRIFT
210-214,5,3773452.617248893,0.1516322461405767,PSEUDO_DRIFT
215-219,5,2812514.539832906,0.11062797854597602,PSEUDO_DRIFT
220-224,5,3508942.288964177,0.14034530420599567,PSEUDO_DRIFT
225-229,5,2869621.870908268,0.11306481015881459,PSEUDO_DRIFT
230-234,5,2687425.914081092,0.10529031152672245,PSEUDO_DRIFT
235-239,5,2685556.0746064736,0.10521052345298687,PSEUDO_DRIFT
240-244,5,2702129.4802567353,0.10591772860616867,PSEUDO_DRIFT
245-249,5,2498447.0745290434,0.09722637994900143,PSEUDO_DRIFT
