block_range,total_blocks,avg_FDDS,avg_FDDS_scaled,final_drift
0-4,5,0.023688355798690212,0.010977873066430917,REAL_DRIFT
5-9,5,0.05531769166643306,0.03804386204705475,REAL_DRIFT
10-14,5,0.042801736686835366,0.027333656149078376,REAL_DRIFT
15-19,5,0.056797528695619895,0.039310194444692546,REAL_DRIFT
20-24,5,0.014177613180051469,0.002839300192501152,PSEUDO_DRIFT
25-29,5,0.015410494927265294,0.003894306972410596,PSEUDO_DRIFT
30-34,5,0.025676030842512364,0.012678774756498258,REAL_DRIFT
35-39,5,0.0451090076086828,0.029308043774767492,REAL_DRIFT
40-44,5,0.023488944242770267,0.01080723176692002,REAL_DRIFT
45-49,5,0.025753135824483353,0.012744755357580252,REAL_DRIFT
50-54,5,0.0248622370727079,0.011982391712031894,REAL_DRIFT
55-59,5,0.02626559377851647,0.013183278044078988,REAL_DRIFT
60-64,5,0.03174160570749547,0.01786923411812561,REAL_DRIFT
65-69,5,0.0368799130279535,0.02226620817714813,REAL_DRIFT
70-74,5,0.016464341135291036,0.004796108703972924,PSEUDO_DRIFT
75-79,5,0.015457263873143928,0.0039343282924623225,PSEUDO_DRIFT
80-84,5,0.01549361469168654,0.003965434568554398,PSEUDO_DRIFT
85-89,5,0.02205756961125858,0.009582369817063199,PSEUDO_DRIFT
90-94,5,0.02654601044834739,0.013423237382060766,REAL_DRIFT
95-99,5,0.01657667761455404,0.004892237750835252,PSEUDO_DRIFT
100-104,5,0.08537836156952858,0.06376750555792357,REAL_DRIFT
105-109,5,0.09180236686754017,0.06926468252472717,REAL_DRIFT
110-114,5,0.09082457626610937,0.06842796341831452,REAL_DRIFT
115-119,5,0.08701502106236321,0.06516803473701623,REAL_DRIFT
120-124,5,0.08767552056260977,0.06573324016118742,REAL_DRIFT
125-129,5,0.08929341778288284,0.06711771400909873,REAL_DRIFT
130-134,5,0.09713628357067769,0.07382904427150412,REAL_DRIFT
135-139,5,0.09692633592400243,0.07364938698387781,REAL_DRIFT
140-144,5,0.08696810189815814,0.06512788487150326,REAL_DRIFT
145-149,5,0.09715525612643826,0.07384527954711335,REAL_DRIFT
150-154,5,0.09560729228067216,0.07252064938203176,REAL_DRIFT
155-159,5,0.08766184687631749,0.06572153925655702,REAL_DRIFT
160-164,5,0.08514344359514779,0.06356648055592772,REAL_DRIFT
165-169,5,0.07393657820211644,0.053976494332269226,REAL_DRIFT
170-174,5,0.08944344059941992,0.06724609216778703,REAL_DRIFT
175-179,5,0.09585598461412084,0.0727334614367911,REAL_DRIFT
180-184,5,0.09187681198708827,0.06932838701709387,REAL_DRIFT
185-189,5,0.0934117027843242,0.07064183025782965,REAL_DRIFT
190-194,5,0.08675388003293462,0.06494457003151441,REAL_DRIFT
195-199,5,0.09470319600564443,0.07174699229610226,REAL_DRIFT
200-204,5,0.03762260847560617,0.02290175066486212,REAL_DRIFT
205-209,5,0.02628117922691432,0.013196614889859062,REAL_DRIFT
210-214,5,0.02898120174308925,0.015507089569940988,REAL_DRIFT
215-219,5,0.024961975650037015,0.012067740429002142,REAL_DRIFT
220-224,5,0.02314233178599944,0.010510627090339574,REAL_DRIFT
225-229,5,0.02188046108153632,0.00943081375740132,PSEUDO_DRIFT
230-234,5,0.026926767510675197,0.013749060424831932,REAL_DRIFT
235-239,5,0.02979613288363061,0.016204445890101803,REAL_DRIFT
240-244,5,0.025282307025677415,0.012341855747751953,REAL_DRIFT
245-249,5,0.03458004563092331,0.020298155927009075,REAL_DRIFT
250-254,5,0.038505564332035655,0.023657317382431747,REAL_DRIFT
255-259,5,0.031889271292911206,0.017995595137035136,REAL_DRIFT
260-264,5,0.02823675350991846,0.014870047181194702,REAL_DRIFT
265-269,5,0.03047858276944441,0.016788434790991187,REAL_DRIFT
270-274,5,0.025563734253330344,0.012582679844544638,REAL_DRIFT
275-279,5,0.027118212537238524,0.013912884572168605,REAL_DRIFT
280-284,5,0.02829394005927386,0.014918983096927022,REAL_DRIFT
285-289,5,0.021228734893282794,0.008873115868852113,PSEUDO_DRIFT
290-294,5,0.019210613595335713,0.007146160581513796,PSEUDO_DRIFT
295-299,5,0.020447954829247474,0.008204983452229897,PSEUDO_DRIFT
300-304,5,0.020333472467258133,0.008107018121530704,PSEUDO_DRIFT
305-309,5,0.02287886745651298,0.010285174280692045,REAL_DRIFT
310-314,5,0.02186903211519279,0.009421033714013517,PSEUDO_DRIFT
315-319,5,0.019583334133392513,0.00746510657576674,PSEUDO_DRIFT
320-324,5,0.022007154005909007,0.009539227962155183,PSEUDO_DRIFT
325-329,5,0.02190911465243818,0.00945533331220728,PSEUDO_DRIFT
330-334,5,0.02254370177677243,0.009998364888535548,PSEUDO_DRIFT
335-339,5,0.018899183987117825,0.00687966272080905,PSEUDO_DRIFT
340-344,5,0.02115103219839643,0.008806623790347742,PSEUDO_DRIFT
345-349,5,0.023044594060559698,0.010426990550805362,REAL_DRIFT
350-354,5,0.023380082347356786,0.010714076005635887,REAL_DRIFT
355-359,5,0.022014268674472183,0.00954531615641057,PSEUDO_DRIFT
360-364,5,0.01813440258069442,0.006225220743102136,PSEUDO_DRIFT
365-369,5,0.016089217631696424,0.004475106433893032,PSEUDO_DRIFT
370-374,5,0.01219493347969455,0.0011426731388583563,PSEUDO_DRIFT
375-379,5,0.016564219667572516,0.004881577183786577,PSEUDO_DRIFT
380-384,5,0.015396098814716475,0.003881987870130376,PSEUDO_DRIFT
385-389,5,0.01248452665396548,0.001390485034007081,PSEUDO_DRIFT
390-394,5,0.012290127986640151,0.0012241333847130046,PSEUDO_DRIFT
395-399,5,0.010859604756924712,0.0,PSEUDO_DRIFT
400-404,5,0.019379053747809443,0.007290298900756789,PSEUDO_DRIFT
405-409,5,0.021987111081990092,0.009522076746581223,PSEUDO_DRIFT
410-414,5,0.023324452308013992,0.010666472033230658,REAL_DRIFT
415-419,5,0.022177469766748857,0.009684971284917113,PSEUDO_DRIFT
420-424,5,0.011748222563207641,0.0007604117852303247,PSEUDO_DRIFT
425-429,5,0.01655060311073252,0.004869925166212562,PSEUDO_DRIFT
430-434,5,0.02035807026718405,0.00812806705485407,PSEUDO_DRIFT
435-439,5,0.01660843995890342,0.004919417558395987,PSEUDO_DRIFT
440-444,5,0.018544617090356093,0.006576251237217509,PSEUDO_DRIFT
445-449,5,0.02054499932040663,0.00828802677439534,PSEUDO_DRIFT
450-454,5,0.02492540098864963,0.012036442605164791,REAL_DRIFT
455-459,5,0.025322991310238567,0.012376670275702243,REAL_DRIFT
460-464,5,0.03203177489332931,0.018117538920323653,REAL_DRIFT
465-469,5,0.026396480801571233,0.013295281240684825,REAL_DRIFT
470-474,5,0.01906598284153598,0.007022396541542435,PSEUDO_DRIFT
475-479,5,0.030162132131978346,0.016517640313915147,REAL_DRIFT
480-484,5,0.03124403398104979,0.017443449937219576,REAL_DRIFT
