,block_range,accuracy,Ground truth
0,0-4,0.7279999852180481,PSEUDO_DRIFT
1,5-9,0.6840000152587891,PSEUDO_DRIFT
2,10-14,0.699999988079071,PSEUDO_DRIFT
3,15-19,0.6759999990463257,PSEUDO_DRIFT
4,20-24,0.7080000042915344,PSEUDO_DRIFT
5,25-29,0.699999988079071,PSEUDO_DRIFT
6,30-34,0.6359999775886536,PSEUDO_DRIFT
7,35-39,0.7120000123977661,PSEUDO_DRIFT
8,40-44,0.6520000100135803,PSEUDO_DRIFT
9,45-49,0.699999988079071,PSEUDO_DRIFT
10,50-54,0.6679999828338623,PSEUDO_DRIFT
11,55-59,0.6679999828338623,PSEUDO_DRIFT
12,60-64,0.6439999938011169,PSEUDO_DRIFT
13,65-69,0.6880000233650208,PSEUDO_DRIFT
14,70-74,0.671999990940094,PSEUDO_DRIFT
15,75-79,0.6840000152587891,PSEUDO_DRIFT
16,80-84,0.6919999718666077,PSEUDO_DRIFT
17,85-89,0.7279999852180481,PSEUDO_DRIFT
18,90-94,0.6520000100135803,PSEUDO_DRIFT
19,95-99,0.6880000233650208,PSEUDO_DRIFT
20,100-104,0.15600000321865082,REAL_DRIFT
21,105-109,0.20000000298023224,REAL_DRIFT
22,110-114,0.23600000143051147,REAL_DRIFT
23,115-119,0.1679999977350235,REAL_DRIFT
24,120-124,0.18400000035762787,REAL_DRIFT
25,125-129,0.164000004529953,REAL_DRIFT
26,130-134,0.1720000058412552,REAL_DRIFT
27,135-139,0.12399999797344208,REAL_DRIFT
28,140-144,0.1720000058412552,REAL_DRIFT
29,145-149,0.18799999356269836,REAL_DRIFT
30,150-154,0.20399999618530273,REAL_DRIFT
31,155-159,0.17599999904632568,REAL_DRIFT
32,160-164,0.17599999904632568,REAL_DRIFT
33,165-169,0.2240000069141388,REAL_DRIFT
34,170-174,0.1599999964237213,REAL_DRIFT
35,175-179,0.20800000429153442,REAL_DRIFT
36,180-184,0.19200000166893005,REAL_DRIFT
37,185-189,0.20399999618530273,REAL_DRIFT
38,190-194,0.20800000429153442,REAL_DRIFT
39,195-199,0.24400000274181366,REAL_DRIFT
40,200-204,0.7200000286102295,PSEUDO_DRIFT
