window_id,blocks_range,window_size,drift_type,real_pseudo,drift_ratio,accuracy,ad_start,ad_end,fixed_mean_avg_FTDS_scaled_in_window,fixed_real_ratio_in_window,fixed_final_drift_for_window,matched_fixed_rows,Fixed threhold prediction,ground_truth,adaptive_prediction,TP1,FP1,TN1,FN1,block_group,TP,FP,TN,FN
1,0-2,3,PSEUDO_DRIFT,0/3,0.0,0.7279999852180481,0,2,0.0004645872626018,0.0,PSEUDO_DRIFT,1,PSEUDO_DRIFT,PSEUDO_DRIFT,PSEUDO_DRIFT,0,0,1,0,0,0,0,1,0
2,3-5,3,PSEUDO_DRIFT,0/3,0.0,0.6840000152587891,3,5,0.0005396915640761,0.0,PSEUDO_DRIFT,2,PSEUDO_DRIFT,PSEUDO_DRIFT,PSEUDO_DRIFT,0,0,1,0,0,0,0,1,0
3,6-8,3,PSEUDO_DRIFT,0/3,0.0,0.699999988079071,6,8,0.0006899001670245,0.0,PSEUDO_DRIFT,1,PSEUDO_DRIFT,PSEUDO_DRIFT,PSEUDO_DRIFT,0,0,1,0,0,0,0,1,0
4,9-11,3,PSEUDO_DRIFT,0/3,0.0,0.6759999990463257,9,11,0.0005673591341179,0.0,PSEUDO_DRIFT,2,PSEUDO_DRIFT,PSEUDO_DRIFT,PSEUDO_DRIFT,0,0,1,0,0,0,0,1,0
5,12-14,3,PSEUDO_DRIFT,0/3,0.0,0.7080000042915344,12,14,0.0005060886176647,0.0,PSEUDO_DRIFT,1,PSEUDO_DRIFT,PSEUDO_DRIFT,PSEUDO_DRIFT,0,0,1,0,0,0,0,1,0
6,15-18,4,PSEUDO_DRIFT,0/4,0.0,0.699999988079071,15,18,0.0003641959862413,0.0,PSEUDO_DRIFT,1,PSEUDO_DRIFT,PSEUDO_DRIFT,PSEUDO_DRIFT,0,0,1,0,5,0,0,1,0
7,19-22,4,PSEUDO_DRIFT,0/4,0.0,0.6359999775886536,19,22,0.0007483548712602,0.0,PSEUDO_DRIFT,2,PSEUDO_DRIFT,PSEUDO_DRIFT,PSEUDO_DRIFT,0,0,1,0,5,0,0,1,0
8,23-26,4,PSEUDO_DRIFT,0/4,0.0,0.7120000123977661,23,26,0.0007354247010152,0.0,PSEUDO_DRIFT,2,PSEUDO_DRIFT,PSEUDO_DRIFT,PSEUDO_DRIFT,0,0,1,0,5,0,0,1,0
9,27-30,4,PSEUDO_DRIFT,0/4,0.0,0.6520000100135803,27,30,0.0007199342846332,0.0,PSEUDO_DRIFT,2,PSEUDO_DRIFT,PSEUDO_DRIFT,PSEUDO_DRIFT,0,0,1,0,5,0,0,1,0
10,31-34,4,PSEUDO_DRIFT,0/4,0.0,0.699999988079071,31,34,0.0010964124312415,0.0,PSEUDO_DRIFT,1,PSEUDO_DRIFT,PSEUDO_DRIFT,PSEUDO_DRIFT,0,0,1,0,5,0,0,1,0
