,block_range,total_blocks,accuracy
0,0-4,5,0.596
1,5-9,5,0.56
2,10-14,5,0.576
3,15-19,5,0.536
4,20-24,5,0.564
5,25-29,5,0.596
6,30-34,5,0.592
7,35-39,5,0.592
8,40-44,5,0.564
9,45-49,5,0.572
10,50-54,5,0.556
11,55-59,5,0.548
12,60-64,5,0.56
13,65-69,5,0.58
14,70-74,5,0.548
15,75-79,5,0.6
16,80-84,5,0.54
17,85-89,5,0.524
18,90-94,5,0.576
19,95-99,5,0.572
20,100-104,5,0.096
21,105-109,5,0.104
22,110-114,5,0.068
23,115-119,5,0.096
24,120-124,5,0.128
25,125-129,5,0.092
26,130-134,5,0.092
27,135-139,5,0.092
28,140-144,5,0.088
29,145-149,5,0.1
30,150-154,5,0.088
31,155-159,5,0.068
32,160-164,5,0.088
33,165-169,5,0.144
34,170-174,5,0.12
35,175-179,5,0.112
36,180-184,5,0.124
37,185-189,5,0.104
38,190-194,5,0.124
39,195-199,5,0.084
40,200-204,5,0.604
41,205-209,5,0.54
42,210-214,5,0.552
43,215-219,5,0.556
44,220-224,5,0.576
45,225-229,5,0.58
46,230-234,5,0.556
47,235-239,5,0.584
48,240-244,5,0.58
49,245-249,5,0.6
50,250-254,5,0.6
51,255-259,5,0.6
52,260-264,5,0.568
53,265-269,5,0.584
54,270-274,5,0.56
55,275-279,5,0.584
56,280-284,5,0.552
57,285-289,5,0.532
58,290-294,5,0.6
59,295-299,5,0.52
60,300-304,5,0.524
61,305-309,5,0.528
62,310-314,5,0.524
63,315-319,5,0.568
64,320-324,5,0.56
65,325-329,5,0.524
66,330-334,5,0.568
67,335-339,5,0.588
68,340-344,5,0.52
69,345-349,5,0.588
70,350-354,5,0.544
71,355-359,5,0.6
72,360-364,5,0.556
73,365-369,5,0.572
74,370-374,5,0.556
75,375-379,5,0.552
76,380-384,5,0.608
77,385-389,5,0.532
78,390-394,5,0.596
79,395-399,5,0.62
80,400-404,5,0.544
81,405-409,5,0.564
82,410-414,5,0.624
83,415-419,5,0.576
84,420-424,5,0.632
85,425-429,5,0.548
86,430-434,5,0.596
87,435-439,5,0.544
88,440-444,5,0.56
89,445-449,5,0.584
90,450-454,5,0.52
91,455-459,5,0.512
92,460-464,5,0.556
93,465-469,5,0.564
94,470-474,5,0.584
95,475-479,5,0.56
96,480-484,5,0.556
97,485-489,5,0.588
98,490-494,5,0.508
99,495-499,5,0.56
100,500-504,5,0.588
101,505-509,5,0.552
102,510-514,5,0.592
103,515-519,5,0.564
104,520-524,5,0.564
105,525-529,5,0.552
106,530-534,5,0.532
107,535-539,5,0.616
108,540-544,5,0.592
109,545-549,5,0.56
110,550-554,5,0.64
111,555-559,5,0.596
112,560-564,5,0.572
113,565-569,5,0.56
114,570-574,5,0.552
115,575-579,5,0.492
116,580-584,5,0.552
117,585-589,5,0.684
118,590-594,5,0.576
119,595-599,5,0.524
120,600-604,5,0.584
121,605-609,5,0.532
122,610-614,5,0.54
123,615-619,5,0.604
124,620-624,5,0.584
125,625-629,5,0.592
126,630-634,5,0.56
127,635-639,5,0.604
128,640-644,5,0.568
129,645-649,5,0.568
130,650-654,5,0.584
131,655-659,5,0.548
132,660-664,5,0.572
133,665-669,5,0.6
134,670-674,5,0.516
135,675-679,5,0.584
136,680-684,5,0.576
137,685-689,5,0.58
138,690-694,5,0.624
139,695-699,5,0.588
140,700-704,5,0.548
141,705-709,5,0.572
142,710-714,5,0.62
143,715-719,5,0.58
144,720-724,5,0.588
145,725-729,5,0.536
146,730-734,5,0.576
147,735-739,5,0.636
148,740-744,5,0.596
149,745-749,5,0.612
150,750-754,5,0.632
151,755-759,5,0.564
152,760-764,5,0.556
153,765-769,5,0.58
154,770-774,5,0.548
155,775-779,5,0.524
156,780-784,5,0.576
157,785-789,5,0.64
158,790-794,5,0.608
159,795-799,5,0.576
160,800-804,5,0.548
161,805-809,5,0.532
162,810-814,5,0.584
163,815-819,5,0.572
164,820-824,5,0.568
165,825-829,5,0.552
166,830-834,5,0.58
167,835-839,5,0.544
168,840-844,5,0.536
169,845-849,5,0.648
170,850-854,5,0.632
171,855-859,5,0.588
172,860-864,5,0.588
173,865-869,5,0.536
174,870-874,5,0.58
175,875-879,5,0.524
176,880-884,5,0.592
177,885-889,5,0.516
178,890-894,5,0.548
179,895-899,5,0.548
180,900-904,5,0.56
181,905-909,5,0.672
182,910-914,5,0.596
183,915-919,5,0.58
184,920-924,5,0.556
185,925-929,5,0.556
186,930-934,5,0.532
187,935-939,5,0.576
188,940-944,5,0.548
189,945-949,5,0.588
190,950-954,5,0.576
191,955-959,5,0.576
192,960-964,5,0.544
193,965-969,5,0.624
194,970-974,5,0.568
195,975-979,5,0.56
196,980-984,5,0.532
197,985-989,5,0.58
198,990-994,5,0.612
199,995-999,5,0.56
200,1000-1004,5,0.604
201,1005-1009,5,0.612
202,1010-1014,5,0.548
203,1015-1019,5,0.572
204,1020-1024,5,0.572
205,1025-1029,5,0.552
206,1030-1034,5,0.552
207,1035-1039,5,0.596
208,1040-1044,5,0.576
209,1045-1049,5,0.564
210,1050-1054,5,0.608
211,1055-1059,5,0.568
212,1060-1064,5,0.58
213,1065-1069,5,0.588
214,1070-1074,5,0.58
215,1075-1079,5,0.568
216,1080-1084,5,0.584
217,1085-1089,5,0.544
218,1090-1094,5,0.512
219,1095-1099,5,0.54
220,1100-1104,5,0.58
221,1105-1109,5,0.572
222,1110-1114,5,0.536
223,1115-1119,5,0.52
224,1120-1124,5,0.584
225,1125-1129,5,0.5
226,1130-1134,5,0.54
227,1135-1139,5,0.552
228,1140-1144,5,0.52
229,1145-1149,5,0.588
230,1150-1154,5,0.572
231,1155-1159,5,0.612
232,1160-1164,5,0.572
233,1165-1169,5,0.564
234,1170-1174,5,0.544
235,1175-1179,5,0.604
236,1180-1184,5,0.576
237,1185-1189,5,0.6
238,1190-1194,5,0.548
239,1195-1199,5,0.596
240,1200-1204,5,0.592
241,1205-1209,5,0.528
242,1210-1214,5,0.584
243,1215-1219,5,0.576
244,1220-1224,5,0.58
245,1225-1229,5,0.504
246,1230-1234,5,0.568
247,1235-1239,5,0.596
248,1240-1244,5,0.54
249,1245-1249,5,0.552
250,1250-1254,5,0.568
251,1255-1259,5,0.616
252,1260-1264,5,0.576
253,1265-1269,5,0.512
254,1270-1274,5,0.56
255,1275-1279,5,0.596
256,1280-1284,5,0.612
257,1285-1289,5,0.58
258,1290-1294,5,0.528
259,1295-1299,5,0.512
260,1300-1304,5,0.548
261,1305-1309,5,0.58
262,1310-1314,5,0.56
263,1315-1319,5,0.568
264,1320-1324,5,0.596
265,1325-1329,5,0.58
266,1330-1334,5,0.6
267,1335-1339,5,0.548
268,1340-1344,5,0.556
269,1345-1349,5,0.56
270,1350-1354,5,0.572
271,1355-1359,5,0.568
272,1360-1364,5,0.54
273,1365-1369,5,0.608
274,1370-1374,5,0.556
275,1375-1379,5,0.596
276,1380-1384,5,0.548
277,1385-1389,5,0.608
278,1390-1394,5,0.604
279,1395-1399,5,0.576
280,1400-1404,5,0.552
281,1405-1409,5,0.56
282,1410-1414,5,0.516
283,1415-1419,5,0.556
284,1420-1424,5,0.596
285,1425-1429,5,0.532
286,1430-1434,5,0.588
287,1435-1439,5,0.544
288,1440-1444,5,0.544
289,1445-1449,5,0.572
290,1450-1454,5,0.592
291,1455-1459,5,0.552
292,1460-1464,5,0.592
293,1465-1469,5,0.596
294,1470-1474,5,0.588
295,1475-1479,5,0.596
296,1480-1484,5,0.496
297,1485-1489,5,0.608
298,1490-1494,5,0.556
299,1495-1499,5,0.616
300,1500-1504,5,0.52
301,1505-1509,5,0.56
302,1510-1514,5,0.6
303,1515-1519,5,0.528
304,1520-1524,5,0.564
305,1525-1529,5,0.576
306,1530-1534,5,0.536
307,1535-1539,5,0.6
308,1540-1544,5,0.548
309,1545-1549,5,0.608
310,1550-1554,5,0.648
311,1555-1559,5,0.564
312,1560-1564,5,0.54
313,1565-1569,5,0.568
314,1570-1574,5,0.596
315,1575-1579,5,0.588
316,1580-1584,5,0.592
317,1585-1589,5,0.552
318,1590-1594,5,0.548
319,1595-1599,5,0.572
320,1600-1604,5,0.552
321,1605-1609,5,0.564
322,1610-1614,5,0.544
323,1615-1619,5,0.524
324,1620-1624,5,0.588
325,1625-1629,5,0.544
326,1630-1634,5,0.58
327,1635-1639,5,0.58
328,1640-1644,5,0.568
329,1645-1649,5,0.552
330,1650-1654,5,0.568
331,1655-1659,5,0.6
332,1660-1664,5,0.592
333,1665-1669,5,0.584
334,1670-1674,5,0.56
335,1675-1679,5,0.528
336,1680-1684,5,0.62
337,1685-1689,5,0.576
338,1690-1694,5,0.516
339,1695-1699,5,0.58
340,1700-1704,5,0.556
341,1705-1709,5,0.648
342,1710-1714,5,0.548
343,1715-1719,5,0.58
344,1720-1724,5,0.576
345,1725-1729,5,0.572
346,1730-1734,5,0.552
347,1735-1739,5,0.592
348,1740-1744,5,0.52
349,1745-1749,5,0.564
350,1750-1754,5,0.564
351,1755-1759,5,0.552
352,1760-1764,5,0.588
353,1765-1769,5,0.608
354,1770-1774,5,0.6
355,1775-1779,5,0.608
356,1780-1784,5,0.584
357,1785-1789,5,0.588
358,1790-1794,5,0.604
359,1795-1799,5,0.536
360,1800-1804,5,0.584
361,1805-1809,5,0.576
362,1810-1814,5,0.58
363,1815-1819,5,0.568
364,1820-1824,5,0.556
365,1825-1829,5,0.604
366,1830-1834,5,0.54
367,1835-1839,5,0.6
368,1840-1844,5,0.596
369,1845-1849,5,0.56
370,1850-1854,5,0.564
371,1855-1859,5,0.544
372,1860-1864,5,0.604
373,1865-1869,5,0.536
374,1870-1874,5,0.608
375,1875-1879,5,0.58
376,1880-1884,5,0.58
377,1885-1889,5,0.616
378,1890-1894,5,0.588
379,1895-1899,5,0.604
380,1900-1904,5,0.548
381,1905-1909,5,0.588
382,1910-1914,5,0.624
383,1915-1919,5,0.556
384,1920-1924,5,0.576
385,1925-1929,5,0.568
386,1930-1934,5,0.592
387,1935-1939,5,0.516
388,1940-1944,5,0.632
389,1945-1949,5,0.548
390,1950-1954,5,0.556
391,1955-1959,5,0.536
392,1960-1964,5,0.62
393,1965-1969,5,0.532
394,1970-1974,5,0.66
395,1975-1979,5,0.56
396,1980-1984,5,0.556
397,1985-1989,5,0.532
398,1990-1994,5,0.608
399,1995-1999,5,0.524
400,2000-2004,5,0.66
401,2005-2009,5,0.544
402,2010-2014,5,0.564
403,2015-2019,5,0.568
404,2020-2024,5,0.548
405,2025-2029,5,0.512
406,2030-2034,5,0.588
407,2035-2039,5,0.544
408,2040-2044,5,0.584
409,2045-2049,5,0.536
410,2050-2054,5,0.6
411,2055-2059,5,0.564
412,2060-2064,5,0.596
413,2065-2069,5,0.508
414,2070-2074,5,0.568
415,2075-2079,5,0.604
416,2080-2084,5,0.548
417,2085-2089,5,0.644
418,2090-2094,5,0.556
419,2095-2099,5,0.568
420,2100-2104,5,0.54
421,2105-2109,5,0.608
422,2110-2114,5,0.576
423,2115-2119,5,0.496
424,2120-2124,5,0.556
425,2125-2129,5,0.52
426,2130-2134,5,0.56
427,2135-2139,5,0.532
428,2140-2144,5,0.66
429,2145-2149,5,0.576
430,2150-2154,5,0.584
431,2155-2159,5,0.572
432,2160-2164,5,0.572
433,2165-2169,5,0.612
434,2170-2174,5,0.576
435,2175-2179,5,0.592
436,2180-2184,5,0.568
437,2185-2189,5,0.532
438,2190-2194,5,0.484
439,2195-2199,5,0.536
440,2200-2204,5,0.532
441,2205-2209,5,0.56
442,2210-2214,5,0.58
443,2215-2219,5,0.528
444,2220-2224,5,0.58
445,2225-2229,5,0.592
446,2230-2234,5,0.568
447,2235-2239,5,0.536
448,2240-2244,5,0.56
449,2245-2249,5,0.572
450,2250-2254,5,0.608
451,2255-2259,5,0.564
452,2260-2264,5,0.552
453,2265-2269,5,0.56
454,2270-2274,5,0.468
455,2275-2279,5,0.568
456,2280-2284,5,0.568
457,2285-2289,5,0.568
458,2290-2294,5,0.556
459,2295-2299,5,0.544
460,2300-2304,5,0.62
461,2305-2309,5,0.584
462,2310-2314,5,0.552
463,2315-2319,5,0.528
464,2320-2324,5,0.556
465,2325-2329,5,0.524
466,2330-2334,5,0.556
467,2335-2339,5,0.56
468,2340-2344,5,0.592
469,2345-2349,5,0.56
470,2350-2354,5,0.56
471,2355-2359,5,0.616
472,2360-2364,5,0.548
473,2365-2369,5,0.576
474,2370-2374,5,0.576
475,2375-2379,5,0.588
476,2380-2384,5,0.608
477,2385-2389,5,0.6
478,2390-2394,5,0.552
479,2395-2399,5,0.528
480,2400-2404,5,0.596
481,2405-2409,5,0.544
