block_group,block_range,total_blocks,avg_FDDS,avg_FDDS_scaled,final_drift
0,0-4,5,1.1719156809726052,0.0014408650539730035,PSEUDO_DRIFT
1,5-9,5,0.8894842141706303,0.0009209339286759565,PSEUDO_DRIFT
2,10-14,5,1.2168290560502997,0.0015235465692781203,PSEUDO_DRIFT
3,15-19,5,0.7010490261460782,0.0005740415640802673,PSEUDO_DRIFT
4,20-24,5,1.1333081397027926,0.0013697920159554653,PSEUDO_DRIFT
5,25-29,5,1.1703393136228941,0.0014379631023622383,PSEUDO_DRIFT
6,30-34,5,1.0821453010086388,0.0012756057958545233,PSEUDO_DRIFT
7,35-39,5,0.9327622217921808,0.0010006048784397226,PSEUDO_DRIFT
8,40-44,5,1.3419852080749268,0.0017539478758210555,PSEUDO_DRIFT
9,45-49,5,1.1793735817100526,0.0014545943836637828,PSEUDO_DRIFT
10,50-54,5,0.9997973612190675,0.001124010587694857,PSEUDO_DRIFT
11,55-59,5,1.236277934142821,0.0015593502181665058,PSEUDO_DRIFT
12,60-64,5,1.067008334378778,0.0012477399911601564,PSEUDO_DRIFT
13,65-69,5,0.9110404655262796,0.0009606170636730459,PSEUDO_DRIFT
14,70-74,5,1.0262355650861643,0.0011726809615845,PSEUDO_DRIFT
15,75-79,5,1.1908139469940324,0.0014756550751768834,PSEUDO_DRIFT
16,80-84,5,0.9917037975390526,0.0011091110592554004,PSEUDO_DRIFT
17,85-89,5,0.9744766987313817,0.0010773975077517507,PSEUDO_DRIFT
18,90-94,5,1.1596799882372082,0.0014183402355994036,PSEUDO_DRIFT
19,95-99,5,1.1006116402646797,0.00130960067842985,PSEUDO_DRIFT
20,100-104,5,284.21917562529956,0.522505610570745,REAL_DRIFT
21,105-109,5,270.95210742530554,0.49808212201005986,REAL_DRIFT
22,110-114,5,246.19620357172562,0.4525087123114798,REAL_DRIFT
23,115-119,5,275.71318106551433,0.5068468336882791,REAL_DRIFT
24,120-124,5,278.795914455692,0.5125218707466309,REAL_DRIFT
25,125-129,5,250.70363881124345,0.4608064983295273,REAL_DRIFT
26,130-134,5,290.5522636510284,0.5341642604411263,REAL_DRIFT
27,135-139,5,273.5219068338331,0.5028128933840592,REAL_DRIFT
28,140-144,5,264.8902637537058,0.4869228087889185,REAL_DRIFT
29,145-149,5,268.2278368888989,0.4930669830751315,REAL_DRIFT
30,150-154,5,305.5441655519785,0.5617630139156079,REAL_DRIFT
31,155-159,5,285.5550525907563,0.5249648408462274,REAL_DRIFT
32,160-164,5,254.4135504138307,0.46763611450554,REAL_DRIFT
33,165-169,5,296.4271651242411,0.5449794297583556,REAL_DRIFT
34,170-174,5,264.58396608126816,0.48635894210894254,REAL_DRIFT
35,175-179,5,250.4994510867999,0.46043060695119087,REAL_DRIFT
36,180-184,5,300.403150223846,0.5522988634971298,REAL_DRIFT
37,185-189,5,295.76299715395373,0.5437567557975257,REAL_DRIFT
38,190-194,5,290.3500746211515,0.5337920484811173,REAL_DRIFT
39,195-199,5,258.47176309150893,0.47510692187729575,REAL_DRIFT
40,200-204,5,1.1061529290592007,0.0013198016965782677,PSEUDO_DRIFT
41,205-209,5,1.028576228207223,0.0011769899135021227,PSEUDO_DRIFT
42,210-214,5,1.2014076767228048,0.0014951571861893057,PSEUDO_DRIFT
43,215-219,5,1.3418277208278286,0.0017536579558538122,PSEUDO_DRIFT
44,220-224,5,1.101811068609076,0.0013118087189710706,PSEUDO_DRIFT
45,225-229,5,0.918571339323365,0.00097448073025427,PSEUDO_DRIFT
46,230-234,5,1.0306991687847415,0.0011808980576473423,PSEUDO_DRIFT
47,235-239,5,1.2034033167901577,0.0014988309814560144,PSEUDO_DRIFT
48,240-244,5,1.2029726166407848,0.0014980381009180746,PSEUDO_DRIFT
49,245-249,5,0.8541467145535085,0.0008558807455120698,PSEUDO_DRIFT
50,250-254,5,1.0456024187461952,0.001208333610812793,PSEUDO_DRIFT
51,255-259,5,1.0843760344123425,0.0012797123769729742,PSEUDO_DRIFT
52,260-264,5,1.2169758462224507,0.0015238167968850268,PSEUDO_DRIFT
53,265-269,5,0.9921732752853668,0.0011099753258886726,PSEUDO_DRIFT
54,270-274,5,0.9318949914846012,0.0009990083848378688,PSEUDO_DRIFT
55,275-279,5,0.9856950867420476,0.0010980495589146407,PSEUDO_DRIFT
56,280-284,5,0.8812314164514504,0.0009057412645809511,PSEUDO_DRIFT
57,285-289,5,0.9873702854820184,0.0011011334502948457,PSEUDO_DRIFT
58,290-294,5,1.1259815698683324,0.0013563044547366967,PSEUDO_DRIFT
59,295-299,5,1.0151566981632185,0.0011522857562927956,PSEUDO_DRIFT
60,300-304,5,1.0316068488098893,0.0011825690155693772,PSEUDO_DRIFT
61,305-309,5,1.014411228738647,0.00115091341361023,PSEUDO_DRIFT
62,310-314,5,1.2134159150783954,0.0015172632813484368,PSEUDO_DRIFT
63,315-319,5,0.9675779457834391,0.001064697519241317,PSEUDO_DRIFT
64,320-324,5,1.0123041220301565,0.0011470344182048257,PSEUDO_DRIFT
65,325-329,5,1.1937140293736923,0.001480993868025231,PSEUDO_DRIFT
66,330-334,5,0.8768022172186616,0.0008975875040692608,PSEUDO_DRIFT
67,335-339,5,1.1237954269097394,0.001352279960648301,PSEUDO_DRIFT
68,340-344,5,0.8075157576969095,0.0007700373154344689,PSEUDO_DRIFT
69,345-349,5,1.149678950133117,0.0013999292169743275,PSEUDO_DRIFT
70,350-354,5,0.9702602164410432,0.0010696353401475729,PSEUDO_DRIFT
71,355-359,5,0.9341293389878615,0.0010031216191910696,PSEUDO_DRIFT
72,360-364,5,1.0590715722000208,0.0012331291202910492,PSEUDO_DRIFT
73,365-369,5,1.0309350078801869,0.0011813322163750238,PSEUDO_DRIFT
74,370-374,5,0.9375083907953595,0.001009342152011307,PSEUDO_DRIFT
75,375-379,5,1.0254609469340152,0.0011712549586957892,PSEUDO_DRIFT
76,380-384,5,0.9819403822777643,0.0010911374830777033,PSEUDO_DRIFT
77,385-389,5,1.0678770830745397,0.0012493392799791479,PSEUDO_DRIFT
78,390-394,5,1.264016897580778,0.0016104151743421672,PSEUDO_DRIFT
79,395-399,5,1.1207065085320775,0.0013465935375799587,PSEUDO_DRIFT
80,400-404,5,0.8105080255359443,0.000775545813486601,PSEUDO_DRIFT
81,405-409,5,1.1853740112667144,0.001465640638980115,PSEUDO_DRIFT
82,410-414,5,1.1050796616554917,0.0013178259070698475,PSEUDO_DRIFT
83,415-419,5,1.0886602572778614,0.0012875992489306742,PSEUDO_DRIFT
84,420-424,5,0.9206752512083909,0.0009783538442747922,PSEUDO_DRIFT
85,425-429,5,0.8821815411041095,0.0009074903592743404,PSEUDO_DRIFT
86,430-434,5,0.9918757480549292,0.0011094276048097165,PSEUDO_DRIFT
87,435-439,5,0.8538758294658535,0.0008553820702403464,PSEUDO_DRIFT
88,440-444,5,0.8095375908291373,0.0007737593297960596,PSEUDO_DRIFT
89,445-449,5,0.8591525792250708,0.0008650960956330779,PSEUDO_DRIFT
