,block_range,total_blocks,accuracy,Ground truth
0,0-4,5,1.0,PSEUDO_DRIFT
1,5-9,5,1.0,PSEUDO_DRIFT
2,10-14,5,1.0,PSEUDO_DRIFT
3,15-19,5,1.0,PSEUDO_DRIFT
4,20-24,5,1.0,PSEUDO_DRIFT
5,25-29,5,1.0,PSEUDO_DRIFT
6,30-34,5,0.924,PSEUDO_DRIFT
7,35-39,5,0.976,PSEUDO_DRIFT
8,40-44,5,0.992,PSEUDO_DRIFT
9,45-49,5,0.948,PSEUDO_DRIFT
10,50-54,5,0.972,PSEUDO_DRIFT
11,55-59,5,0.912,PSEUDO_DRIFT
12,60-64,5,0.98,PSEUDO_DRIFT
13,65-69,5,0.968,PSEUDO_DRIFT
14,70-74,5,0.98,PSEUDO_DRIFT
15,75-79,5,1.0,PSEUDO_DRIFT
16,80-84,5,1.0,PSEUDO_DRIFT
17,85-89,5,1.0,PSEUDO_DRIFT
18,90-94,5,1.0,PSEUDO_DRIFT
19,95-99,5,1.0,PSEUDO_DRIFT
20,100-104,5,0.756,REAL_DRIFT
21,105-109,5,0.884,REAL_DRIFT
22,110-114,5,0.888,REAL_DRIFT
23,115-119,5,0.804,REAL_DRIFT
24,120-124,5,0.988,PSEUDO_DRIFT
25,125-129,5,0.996,PSEUDO_DRIFT
26,130-134,5,0.956,PSEUDO_DRIFT
27,135-139,5,0.976,PSEUDO_DRIFT
28,140-144,5,0.908,PSEUDO_DRIFT
29,145-149,5,0.996,PSEUDO_DRIFT
30,150-154,5,0.972,PSEUDO_DRIFT
31,155-159,5,0.956,PSEUDO_DRIFT
32,160-164,5,0.996,PSEUDO_DRIFT
33,165-169,5,1.0,PSEUDO_DRIFT
34,170-174,5,0.996,PSEUDO_DRIFT
35,175-179,5,0.996,PSEUDO_DRIFT
36,180-184,5,0.996,PSEUDO_DRIFT
37,185-189,5,1.0,PSEUDO_DRIFT
38,190-194,5,0.996,PSEUDO_DRIFT
39,195-199,5,0.992,PSEUDO_DRIFT
40,200-204,5,1.0,PSEUDO_DRIFT
41,205-209,5,0.988,PSEUDO_DRIFT
42,210-214,5,0.992,PSEUDO_DRIFT
43,215-219,5,0.996,PSEUDO_DRIFT
44,220-224,5,0.996,PSEUDO_DRIFT
45,225-229,5,0.984,PSEUDO_DRIFT
46,230-234,5,0.996,PSEUDO_DRIFT
47,235-239,5,0.996,PSEUDO_DRIFT
48,240-244,5,0.968,PSEUDO_DRIFT
49,245-249,5,0.988,PSEUDO_DRIFT
50,250-254,5,1.0,PSEUDO_DRIFT
51,255-259,5,1.0,PSEUDO_DRIFT
52,260-264,5,1.0,PSEUDO_DRIFT
53,265-269,5,1.0,PSEUDO_DRIFT
54,270-274,5,1.0,PSEUDO_DRIFT
55,275-279,5,1.0,PSEUDO_DRIFT
56,280-284,5,0.984,PSEUDO_DRIFT
57,285-289,5,1.0,PSEUDO_DRIFT
58,290-294,5,1.0,PSEUDO_DRIFT
59,295-299,5,1.0,PSEUDO_DRIFT
60,300-304,5,1.0,PSEUDO_DRIFT
61,305-309,5,0.992,PSEUDO_DRIFT
62,310-314,5,0.976,PSEUDO_DRIFT
63,315-319,5,0.96,PSEUDO_DRIFT
64,320-324,5,1.0,PSEUDO_DRIFT
65,325-329,5,0.98,PSEUDO_DRIFT
66,330-334,5,1.0,PSEUDO_DRIFT
67,335-339,5,1.0,PSEUDO_DRIFT
68,340-344,5,1.0,PSEUDO_DRIFT
69,345-349,5,1.0,PSEUDO_DRIFT
70,350-354,5,1.0,PSEUDO_DRIFT
71,355-359,5,1.0,PSEUDO_DRIFT
72,360-364,5,1.0,PSEUDO_DRIFT
73,365-369,5,1.0,PSEUDO_DRIFT
74,370-374,5,1.0,PSEUDO_DRIFT
75,375-379,5,1.0,PSEUDO_DRIFT
76,380-384,5,1.0,PSEUDO_DRIFT
77,385-389,5,0.968,PSEUDO_DRIFT
78,390-394,5,1.0,PSEUDO_DRIFT
79,395-399,5,0.98,PSEUDO_DRIFT
80,400-404,5,0.996,PSEUDO_DRIFT
81,405-409,5,0.988,PSEUDO_DRIFT
82,410-414,5,0.98,PSEUDO_DRIFT
83,415-419,5,0.984,PSEUDO_DRIFT
84,420-424,5,0.972,PSEUDO_DRIFT
85,425-429,5,1.0,PSEUDO_DRIFT
86,430-434,5,1.0,PSEUDO_DRIFT
87,435-439,5,1.0,PSEUDO_DRIFT
88,440-444,5,1.0,PSEUDO_DRIFT
89,445-449,5,1.0,PSEUDO_DRIFT
90,450-454,5,1.0,PSEUDO_DRIFT
91,455-459,5,0.996,PSEUDO_DRIFT
92,460-464,5,0.996,PSEUDO_DRIFT
93,465-469,5,0.996,PSEUDO_DRIFT
94,470-474,5,1.0,PSEUDO_DRIFT
95,475-479,5,1.0,PSEUDO_DRIFT
96,480-484,5,1.0,PSEUDO_DRIFT
97,485-489,5,0.988,PSEUDO_DRIFT
98,490-494,5,0.972,PSEUDO_DRIFT
99,495-499,5,1.0,PSEUDO_DRIFT
100,500-504,5,1.0,PSEUDO_DRIFT
101,505-509,5,1.0,PSEUDO_DRIFT
102,510-514,5,1.0,PSEUDO_DRIFT
103,515-519,5,1.0,PSEUDO_DRIFT
104,520-524,5,1.0,PSEUDO_DRIFT
105,525-529,5,1.0,PSEUDO_DRIFT
106,530-534,5,1.0,PSEUDO_DRIFT
107,535-539,5,1.0,PSEUDO_DRIFT
108,540-544,5,1.0,PSEUDO_DRIFT
109,545-549,5,1.0,PSEUDO_DRIFT
110,550-554,5,1.0,PSEUDO_DRIFT
111,555-559,5,0.988,PSEUDO_DRIFT
112,560-564,5,0.996,PSEUDO_DRIFT
113,565-569,5,0.988,PSEUDO_DRIFT
114,570-574,5,0.964,PSEUDO_DRIFT
115,575-579,5,0.968,PSEUDO_DRIFT
116,580-584,5,1.0,PSEUDO_DRIFT
117,585-589,5,0.96,PSEUDO_DRIFT
118,590-594,5,0.984,PSEUDO_DRIFT
119,595-599,5,0.996,PSEUDO_DRIFT
120,600-604,5,1.0,PSEUDO_DRIFT
121,605-609,5,1.0,PSEUDO_DRIFT
122,610-614,5,1.0,PSEUDO_DRIFT
123,615-619,5,1.0,PSEUDO_DRIFT
124,620-624,5,1.0,PSEUDO_DRIFT
125,625-629,5,0.996,PSEUDO_DRIFT
126,630-634,5,0.984,PSEUDO_DRIFT
127,635-639,5,0.996,PSEUDO_DRIFT
128,640-644,5,1.0,PSEUDO_DRIFT
129,645-649,5,1.0,PSEUDO_DRIFT
130,650-654,5,1.0,PSEUDO_DRIFT
131,655-659,5,1.0,PSEUDO_DRIFT
132,660-664,5,1.0,PSEUDO_DRIFT
133,665-669,5,1.0,PSEUDO_DRIFT
134,670-674,5,1.0,PSEUDO_DRIFT
135,675-679,5,1.0,PSEUDO_DRIFT
136,680-684,5,0.988,PSEUDO_DRIFT
137,685-689,5,1.0,PSEUDO_DRIFT
138,690-694,5,1.0,PSEUDO_DRIFT
139,695-699,5,1.0,PSEUDO_DRIFT
140,700-704,5,1.0,PSEUDO_DRIFT
141,705-709,5,1.0,PSEUDO_DRIFT
142,710-714,5,1.0,PSEUDO_DRIFT
143,715-719,5,1.0,PSEUDO_DRIFT
144,720-724,5,1.0,PSEUDO_DRIFT
145,725-729,5,1.0,PSEUDO_DRIFT
146,730-734,5,0.972,PSEUDO_DRIFT
147,735-739,5,1.0,PSEUDO_DRIFT
148,740-744,5,0.984,PSEUDO_DRIFT
149,745-749,5,0.96,PSEUDO_DRIFT
150,750-754,5,1.0,PSEUDO_DRIFT
151,755-759,5,0.968,PSEUDO_DRIFT
152,760-764,5,0.912,PSEUDO_DRIFT
153,765-769,5,0.992,PSEUDO_DRIFT
154,770-774,5,0.956,PSEUDO_DRIFT
155,775-779,5,1.0,PSEUDO_DRIFT
156,780-784,5,1.0,PSEUDO_DRIFT
157,785-789,5,1.0,PSEUDO_DRIFT
158,790-794,5,1.0,PSEUDO_DRIFT
159,795-799,5,1.0,PSEUDO_DRIFT
160,800-804,5,0.988,PSEUDO_DRIFT
161,805-809,5,0.984,PSEUDO_DRIFT
162,810-814,5,1.0,PSEUDO_DRIFT
163,815-819,5,0.984,PSEUDO_DRIFT
164,820-824,5,1.0,PSEUDO_DRIFT
165,825-829,5,1.0,PSEUDO_DRIFT
166,830-834,5,1.0,PSEUDO_DRIFT
167,835-839,5,1.0,PSEUDO_DRIFT
168,840-844,5,0.992,PSEUDO_DRIFT
169,845-849,5,1.0,PSEUDO_DRIFT
170,850-854,5,0.996,PSEUDO_DRIFT
171,855-859,5,0.992,PSEUDO_DRIFT
172,860-864,5,1.0,PSEUDO_DRIFT
173,865-869,5,1.0,PSEUDO_DRIFT
174,870-874,5,1.0,PSEUDO_DRIFT
175,875-879,5,1.0,PSEUDO_DRIFT
176,880-884,5,1.0,PSEUDO_DRIFT
177,885-889,5,1.0,PSEUDO_DRIFT
178,890-894,5,1.0,PSEUDO_DRIFT
179,895-899,5,1.0,PSEUDO_DRIFT
180,900-904,5,1.0,PSEUDO_DRIFT
181,905-909,5,1.0,PSEUDO_DRIFT
182,910-914,5,0.928,PSEUDO_DRIFT
183,915-919,5,0.96,PSEUDO_DRIFT
184,920-924,5,0.968,PSEUDO_DRIFT
185,925-929,5,0.984,PSEUDO_DRIFT
186,930-934,5,0.956,PSEUDO_DRIFT
187,935-939,5,0.98,PSEUDO_DRIFT
188,940-944,5,0.968,PSEUDO_DRIFT
189,945-949,5,0.996,PSEUDO_DRIFT
190,950-954,5,1.0,PSEUDO_DRIFT
191,955-959,5,1.0,PSEUDO_DRIFT
192,960-964,5,1.0,PSEUDO_DRIFT
193,965-969,5,1.0,PSEUDO_DRIFT
194,970-974,5,1.0,PSEUDO_DRIFT
195,975-979,5,0.996,PSEUDO_DRIFT
196,980-984,5,1.0,PSEUDO_DRIFT
197,985-989,5,0.996,PSEUDO_DRIFT
198,990-994,5,0.976,PSEUDO_DRIFT
199,995-999,5,1.0,PSEUDO_DRIFT
200,1000-1004,5,1.0,PSEUDO_DRIFT
201,1005-1009,5,0.992,PSEUDO_DRIFT
202,1010-1014,5,0.944,PSEUDO_DRIFT
203,1015-1019,5,0.948,PSEUDO_DRIFT
204,1020-1024,5,0.992,PSEUDO_DRIFT
205,1025-1029,5,0.996,PSEUDO_DRIFT
206,1030-1034,5,1.0,PSEUDO_DRIFT
207,1035-1039,5,1.0,PSEUDO_DRIFT
208,1040-1044,5,1.0,PSEUDO_DRIFT
209,1045-1049,5,1.0,PSEUDO_DRIFT
210,1050-1054,5,1.0,PSEUDO_DRIFT
211,1055-1059,5,1.0,PSEUDO_DRIFT
212,1060-1064,5,0.996,PSEUDO_DRIFT
213,1065-1069,5,1.0,PSEUDO_DRIFT
214,1070-1074,5,1.0,PSEUDO_DRIFT
215,1075-1079,5,1.0,PSEUDO_DRIFT
216,1080-1084,5,1.0,PSEUDO_DRIFT
217,1085-1089,5,0.992,PSEUDO_DRIFT
218,1090-1094,5,0.968,PSEUDO_DRIFT
219,1095-1099,5,0.964,PSEUDO_DRIFT
220,1100-1104,5,0.988,PSEUDO_DRIFT
221,1105-1109,5,1.0,PSEUDO_DRIFT
222,1110-1114,5,0.956,PSEUDO_DRIFT
223,1115-1119,5,0.956,PSEUDO_DRIFT
224,1120-1124,5,0.992,PSEUDO_DRIFT
225,1125-1129,5,1.0,PSEUDO_DRIFT
226,1130-1134,5,1.0,PSEUDO_DRIFT
227,1135-1139,5,1.0,PSEUDO_DRIFT
228,1140-1144,5,1.0,PSEUDO_DRIFT
229,1145-1149,5,1.0,PSEUDO_DRIFT
230,1150-1154,5,0.992,PSEUDO_DRIFT
231,1155-1159,5,0.996,PSEUDO_DRIFT
232,1160-1164,5,0.996,PSEUDO_DRIFT
233,1165-1169,5,1.0,PSEUDO_DRIFT
234,1170-1174,5,1.0,PSEUDO_DRIFT
235,1175-1179,5,1.0,PSEUDO_DRIFT
236,1180-1184,5,1.0,PSEUDO_DRIFT
237,1185-1189,5,1.0,PSEUDO_DRIFT
238,1190-1194,5,1.0,PSEUDO_DRIFT
239,1195-1199,5,1.0,PSEUDO_DRIFT
240,1200-1204,5,1.0,PSEUDO_DRIFT
241,1205-1209,5,0.992,PSEUDO_DRIFT
242,1210-1214,5,1.0,PSEUDO_DRIFT
243,1215-1219,5,1.0,PSEUDO_DRIFT
244,1220-1224,5,1.0,PSEUDO_DRIFT
