block_range,total_blocks,avg_FDDS,avg_FDDS_scaled,final_drift
0-4,5,4021.3045094737,0.0035927910268291102,PSEUDO_DRIFT
5-9,5,4115.584718637871,0.003687167708802325,PSEUDO_DRIFT
10-14,5,4019.233084520667,0.0035907174822776408,PSEUDO_DRIFT
15-19,5,2844.2877244915007,0.0024145698521182003,PSEUDO_DRIFT
20-24,5,5967.31337881133,0.005540791161817421,PSEUDO_DRIFT
25-29,5,3666.7326079107465,0.0032378563073677375,PSEUDO_DRIFT
30-34,5,3501.308321435595,0.00307226274946498,PSEUDO_DRIFT
35-39,5,4112.234207007108,0.0036838137687397452,PSEUDO_DRIFT
40-44,5,3518.43434667455,0.0030894062990155288,PSEUDO_DRIFT
45-49,5,4157.518961404565,0.0037291448610431346,PSEUDO_DRIFT
50-54,5,4713.9220431030135,0.0042861172856474535,PSEUDO_DRIFT
55-59,5,3400.5880760852174,0.002971439441498571,PSEUDO_DRIFT
60-64,5,4085.29687035975,0.0036568488682955144,PSEUDO_DRIFT
65-69,5,3644.183913266973,0.003215284539632253,PSEUDO_DRIFT
70-74,5,2657.50030725333,0.0022275913034963107,PSEUDO_DRIFT
75-79,5,4663.041690711463,0.004235184869619602,PSEUDO_DRIFT
80-84,5,3449.709664744453,0.0030206112941282056,PSEUDO_DRIFT
85-89,5,2067.441429578384,0.001636928644413424,PSEUDO_DRIFT
90-94,5,4191.219041374522,0.0037628794248290324,PSEUDO_DRIFT
95-99,5,4218.520000809253,0.00379020832013991,PSEUDO_DRIFT
100-104,5,78206.5571907823,0.07785395422826895,REAL_DRIFT
105-109,5,73473.13764695999,0.07311569118352719,REAL_DRIFT
110-114,5,76042.525177111,0.07568770785541168,REAL_DRIFT
115-119,5,80211.6514905971,0.07986110025326779,REAL_DRIFT
120-124,5,79016.47130438266,0.07866469709151162,REAL_DRIFT
125-129,5,73542.42220695573,0.07318504663937886,REAL_DRIFT
130-134,5,64398.37355875862,0.06403164128666297,REAL_DRIFT
135-139,5,73555.32951275773,0.07319796715266161,REAL_DRIFT
140-144,5,72461.97456009683,0.07210349341776105,REAL_DRIFT
145-149,5,66941.11893400096,0.06657698854188845,REAL_DRIFT
150-154,5,74341.7657218131,0.0739852080874478,REAL_DRIFT
155-159,5,76240.2589164631,0.07588564392703952,REAL_DRIFT
160-164,5,70606.56066388063,0.07024618095776257,REAL_DRIFT
165-169,5,71272.04335506636,0.07091234460824142,REAL_DRIFT
170-174,5,77621.63778561518,0.07726843630069101,REAL_DRIFT
175-179,5,73827.31859482343,0.07347023454924326,REAL_DRIFT
180-184,5,73540.31931157457,0.07318294159219695,REAL_DRIFT
185-189,5,86206.79589926726,0.08586237923065444,REAL_DRIFT
190-194,5,69129.65312652118,0.0687677621656012,REAL_DRIFT
195-199,5,84330.56435463864,0.08398422782045563,REAL_DRIFT
200-204,5,3446.0108708020007,0.0030169087153718997,PSEUDO_DRIFT
205-209,5,4123.140326305185,0.0036947310477920673,PSEUDO_DRIFT
210-214,5,4208.493783077653,0.0037801718430188016,PSEUDO_DRIFT
215-219,5,3354.968850772805,0.002925773536030787,PSEUDO_DRIFT
220-224,5,3986.6447959674224,0.0035580958475559215,PSEUDO_DRIFT
225-229,5,2773.529088434664,0.0023437388118479558,PSEUDO_DRIFT
230-234,5,3425.9101281945755,0.002996787404554875,PSEUDO_DRIFT
235-239,5,2808.4141925461618,0.0023786596123587,PSEUDO_DRIFT
240-244,5,2898.0757500486297,0.0024684129166062394,PSEUDO_DRIFT
245-249,5,2158.53107527568,0.0017281114981558979,PSEUDO_DRIFT
250-254,5,3739.5179325603217,0.0033107161100523986,PSEUDO_DRIFT
255-259,5,4145.066258587729,0.003716679415920871,PSEUDO_DRIFT
260-264,5,4186.5455988093,0.003758201200134706,PSEUDO_DRIFT
265-269,5,3612.9364939408624,0.0031840051461904245,PSEUDO_DRIFT
270-274,5,3968.3396138501275,0.00353977193454744,PSEUDO_DRIFT
275-279,5,3374.457390434337,0.0029452820174614555,PSEUDO_DRIFT
280-284,5,3272.0640897047315,0.00284278394215152,PSEUDO_DRIFT
285-289,5,3485.931511482114,0.0030568702050952994,PSEUDO_DRIFT
290-294,5,2255.9856630838212,0.0018256658069757269,PSEUDO_DRIFT
295-299,5,3382.7403704135295,0.002953573473051308,PSEUDO_DRIFT
300-304,5,3462.86255813565,0.0030337776462991796,PSEUDO_DRIFT
305-309,5,5138.044089018351,0.004710673317077983,PSEUDO_DRIFT
310-314,5,4132.973445604641,0.003704574228891861,PSEUDO_DRIFT
315-319,5,3402.2860212158557,0.0029731391240621,PSEUDO_DRIFT
320-324,5,3322.6983806500707,0.0028934700449492587,PSEUDO_DRIFT
325-329,5,3475.2924502179694,0.0030462202573457004,PSEUDO_DRIFT
330-334,5,18177.331783431742,0.017763303543534444,PSEUDO_DRIFT
335-339,5,2888.980645023164,0.002459308504958121,PSEUDO_DRIFT
340-344,5,3989.6096877153186,0.003561063773147696,PSEUDO_DRIFT
345-349,5,4054.4646271601523,0.0036259850758117466,PSEUDO_DRIFT
350-354,5,3990.8893959900065,0.0035623447908918167,PSEUDO_DRIFT
355-359,5,3396.439247513588,0.0029672863676123615,PSEUDO_DRIFT
360-364,5,3413.912176396444,0.002984777175778118,PSEUDO_DRIFT
365-369,5,4232.987026246481,0.0038046901490506853,PSEUDO_DRIFT
370-374,5,3393.146920523252,0.0029639906717280036,PSEUDO_DRIFT
375-379,5,2728.5576269848893,0.0022987213330712014,PSEUDO_DRIFT
380-384,5,4266.045823055075,0.0038377827734782455,PSEUDO_DRIFT
385-389,5,4200.4321927860165,0.003772102003654877,PSEUDO_DRIFT
390-394,5,3895.050929073851,0.0034664082566697044,PSEUDO_DRIFT
395-399,5,3181.2017982733687,0.002751828675316643,PSEUDO_DRIFT
400-404,5,4048.3418512746816,0.0036198560347578588,PSEUDO_DRIFT
405-409,5,3379.8183739023116,0.0029506484865890288,PSEUDO_DRIFT
410-414,5,3593.75415277805,0.0031648031765779895,PSEUDO_DRIFT
415-419,5,3988.233077552964,0.0035596857543604508,PSEUDO_DRIFT
420-424,5,4173.899976649545,0.0037455426382636096,PSEUDO_DRIFT
425-429,5,4244.113140660929,0.0038158276483307462,PSEUDO_DRIFT
430-434,5,4138.8017483843605,0.0037104084955185655,PSEUDO_DRIFT
435-439,5,3571.0148216246685,0.003142040577262906,PSEUDO_DRIFT
440-444,5,4140.651514910229,0.0037122601548295092,PSEUDO_DRIFT
445-449,5,3601.06214811722,0.003172118649868737,PSEUDO_DRIFT
450-454,5,4142.614365993487,0.003714225014412318,PSEUDO_DRIFT
455-459,5,3445.5731490665976,0.003016470545735015,PSEUDO_DRIFT
460-464,5,4089.880066680363,0.0036614367544002017,PSEUDO_DRIFT
465-469,5,3415.2638196322705,0.0029861302020912726,PSEUDO_DRIFT
470-474,5,4098.771633418359,0.0036703374194890347,PSEUDO_DRIFT
475-479,5,4174.881324131731,0.003746524989915696,PSEUDO_DRIFT
480-484,5,3639.3383923452056,0.0032104340605011356,PSEUDO_DRIFT
485-489,5,4127.087555733937,0.003698682316247825,PSEUDO_DRIFT
490-494,5,3473.9183013262546,0.0030448447023476055,PSEUDO_DRIFT
495-499,5,4037.302306800465,0.0036088051940012574,PSEUDO_DRIFT
500-504,5,3979.2461094128594,0.003550689590249432,PSEUDO_DRIFT
505-509,5,6566.488728394897,0.006140579621295378,PSEUDO_DRIFT
510-514,5,8305.397978717763,0.0078812682212987,PSEUDO_DRIFT
515-519,5,4031.666109275554,0.003603163229202256,PSEUDO_DRIFT
520-524,5,4163.860295987741,0.003735492684436271,PSEUDO_DRIFT
525-529,5,4140.544295662198,0.003712152825868718,PSEUDO_DRIFT
530-534,5,3585.3744228153214,0.00315641487200458,PSEUDO_DRIFT
535-539,5,2750.576574750531,0.0023207628118617736,PSEUDO_DRIFT
540-544,5,3512.2829012541793,0.0030832485590904617,PSEUDO_DRIFT
545-549,5,3403.538822642126,0.0029743932074252034,PSEUDO_DRIFT
550-554,5,2897.4243009354605,0.0024677608008937227,PSEUDO_DRIFT
555-559,5,4113.85465480359,0.00368543587466949,PSEUDO_DRIFT
560-564,5,3587.879434152836,0.0031589224466104892,PSEUDO_DRIFT
565-569,5,4348.048091990634,0.003919868951744323,PSEUDO_DRIFT
570-574,5,3144.8683849773006,0.002715458083629968,PSEUDO_DRIFT
575-579,5,4055.537925105571,0.0036270594720159478,PSEUDO_DRIFT
580-584,5,2164.5698088086015,0.0017341564108603778,PSEUDO_DRIFT
585-589,5,4114.148796569955,0.0036857303174182426,PSEUDO_DRIFT
590-594,5,2895.7363548435765,0.0024660711276005263,PSEUDO_DRIFT
595-599,5,4149.739849555542,0.0037213577891696418,PSEUDO_DRIFT
600-604,5,2805.9056860803735,0.0023761485390481054,PSEUDO_DRIFT
605-609,5,4159.416987436835,0.00373104482924232,PSEUDO_DRIFT
610-614,5,3471.559374558252,0.00304248336179315,PSEUDO_DRIFT
615-619,5,3471.7551556395642,0.003042679343208669,PSEUDO_DRIFT
620-624,5,3394.083682880378,0.0029649283926330245,PSEUDO_DRIFT
625-629,5,1374.4543639023952,0.0009432324754224453,PSEUDO_DRIFT
630-634,5,3028.7746553798147,0.002599245560403301,PSEUDO_DRIFT
635-639,5,3857.7960569949964,0.003429115263311826,PSEUDO_DRIFT
640-644,5,2756.589956352384,0.002326782346693664,PSEUDO_DRIFT
645-649,5,3455.0455144424377,0.0030259526037675027,PSEUDO_DRIFT
650-654,5,3375.879524172023,0.002946705606406313,PSEUDO_DRIFT
655-659,5,4105.624668722973,0.003677197467204548,PSEUDO_DRIFT
660-664,5,4025.208967376474,0.0035966994799926607,PSEUDO_DRIFT
665-669,5,3438.9541663201553,0.0030098447900734062,PSEUDO_DRIFT
670-674,5,3427.469651612954,0.002998348523765268,PSEUDO_DRIFT
675-679,5,3393.043204562433,0.0029638868496391843,PSEUDO_DRIFT
680-684,5,3300.1747789872707,0.0028709233958712967,PSEUDO_DRIFT
685-689,5,4118.732644870253,0.003690318856169757,PSEUDO_DRIFT
690-694,5,2894.958208811999,0.002465292185326194,PSEUDO_DRIFT
695-699,5,3404.201747352613,0.002975056810477514,PSEUDO_DRIFT
700-704,5,4113.772885560453,0.0036853540217554673,PSEUDO_DRIFT
705-709,5,4121.709294710937,0.0036932985518858606,PSEUDO_DRIFT
710-714,5,3452.813115596574,0.0030237179206056676,PSEUDO_DRIFT
715-719,5,4153.858047757825,0.0037254802013437895,PSEUDO_DRIFT
720-724,5,4146.637054203999,0.0037182518188635023,PSEUDO_DRIFT
725-729,5,4059.8714867652125,0.0036313974680194476,PSEUDO_DRIFT
730-734,5,4249.225718944184,0.0038209454580914537,PSEUDO_DRIFT
735-739,5,3615.2095632113487,0.0031862805413931466,PSEUDO_DRIFT
