window_id,blocks_range,window_size,drift_type,real_pseudo,drift_ratio,accuracy,adaptive_prediction,ground_truth,Fixed threhold prediction,TP,FP,TN,FN,block_group,TP1,FP1,TN1,FN1
1,0-4,5,PSEUDO_DRIFT,0/5,0.0,0.6079999804496765,PSEUDO_DRIFT,PSEUDO_DRIFT,PSEUDO_DRIFT,0,0,1,0,0,0,0,1,0
2,5-9,5,PSEUDO_DRIFT,0/5,0.0,0.6800000071525574,PSEUDO_DRIFT,PSEUDO_DRIFT,PSEUDO_DRIFT,0,0,1,0,0,0,0,1,0
3,10-14,5,PSEUDO_DRIFT,0/5,0.0,0.5920000076293945,PSEUDO_DRIFT,PSEUDO_DRIFT,PSEUDO_DRIFT,0,0,1,0,0,0,0,1,0
4,15-19,5,PSEUDO_DRIFT,0/5,0.0,0.6200000047683716,PSEUDO_DRIFT,PSEUDO_DRIFT,PSEUDO_DRIFT,0,0,1,0,0,0,0,1,0
5,20-24,5,PSEUDO_DRIFT,0/5,0.0,0.6320000290870667,PSEUDO_DRIFT,PSEUDO_DRIFT,PSEUDO_DRIFT,0,0,1,0,0,0,0,1,0
6,25-29,5,PSEUDO_DRIFT,0/5,0.0,0.6600000262260437,PSEUDO_DRIFT,PSEUDO_DRIFT,PSEUDO_DRIFT,0,0,1,0,0,0,0,1,0
7,30-34,5,PSEUDO_DRIFT,0/5,0.0,0.6200000047683716,PSEUDO_DRIFT,PSEUDO_DRIFT,PSEUDO_DRIFT,0,0,1,0,0,0,0,1,0
8,35-39,5,PSEUDO_DRIFT,0/5,0.0,0.6439999938011169,PSEUDO_DRIFT,PSEUDO_DRIFT,PSEUDO_DRIFT,0,0,1,0,0,0,0,1,0
9,40-44,5,PSEUDO_DRIFT,0/5,0.0,0.6159999966621399,PSEUDO_DRIFT,PSEUDO_DRIFT,PSEUDO_DRIFT,0,0,1,0,0,0,0,1,0
10,45-49,5,PSEUDO_DRIFT,0/5,0.0,0.5759999752044678,PSEUDO_DRIFT,PSEUDO_DRIFT,PSEUDO_DRIFT,0,0,1,0,0,0,0,1,0
11,50-54,5,PSEUDO_DRIFT,0/5,0.0,0.6119999885559082,PSEUDO_DRIFT,PSEUDO_DRIFT,PSEUDO_DRIFT,0,0,1,0,0,0,0,1,0
12,55-59,5,PSEUDO_DRIFT,0/5,0.0,0.6439999938011169,PSEUDO_DRIFT,PSEUDO_DRIFT,PSEUDO_DRIFT,0,0,1,0,0,0,0,1,0
13,60-64,5,PSEUDO_DRIFT,0/5,0.0,0.5799999833106995,PSEUDO_DRIFT,PSEUDO_DRIFT,PSEUDO_DRIFT,0,0,1,0,0,0,0,1,0
14,65-69,5,PSEUDO_DRIFT,0/5,0.0,0.628000020980835,PSEUDO_DRIFT,PSEUDO_DRIFT,PSEUDO_DRIFT,0,0,1,0,0,0,0,1,0
15,70-74,5,PSEUDO_DRIFT,0/5,0.0,0.6439999938011169,PSEUDO_DRIFT,PSEUDO_DRIFT,PSEUDO_DRIFT,0,0,1,0,0,0,0,1,0
16,75-79,5,PSEUDO_DRIFT,0/5,0.0,0.6000000238418579,PSEUDO_DRIFT,PSEUDO_DRIFT,PSEUDO_DRIFT,0,0,1,0,15,0,0,1,0
17,80-84,5,PSEUDO_DRIFT,0/5,0.0,0.6320000290870667,PSEUDO_DRIFT,PSEUDO_DRIFT,PSEUDO_DRIFT,0,0,1,0,15,0,0,1,0
